"term","estimate","std.error","statistic","p.value"
"99","Prior_Conviction_Episodes_Drug1",-0.0154243875611642,0.060648564550888,-0.254324033476872,0.799245234041099
"100","Prior_Conviction_Episodes_Drug2 or more",-0.0405036277843401,0.0783745811658218,-0.516795460745674,0.60529894909572
"101","Prior_Conviction_Episodes_PPViolationChargestrue",-0.180387925993896,0.0550200636093473,-3.27858446828931,0.00104329135601077
"102","Prior_Conviction_Episodes_DVChargestrue",-0.0312953516716201,0.0888979286367828,-0.352036905150917,0.724810585487841
"103","Prior_Conviction_Episodes_GunChargestrue",-0.060082427820947,0.0712781933582608,-0.842928601163595,0.399268376505266
"104","Prior_Revocations_Paroletrue",0.428856535473164,0.0760287015648806,5.64071892122465,1.69341608144733e-08
"105","Prior_Revocations_Probationtrue",-0.167328643673952,0.0580116198510233,-2.88439874810701,0.00392161844885467
"106","Condition_MH_SAtrue",0.260307136394209,0.0458332587315123,5.67943767470404,1.35138279452428e-08
"107","Condition_Cog_Edtrue",-0.0494487922101535,0.0440590637403878,-1.12232961874823,0.261722317212889
"108","Condition_Othertrue",0.078643533325281,0.0495318630116519,1.58773622762344,0.112345997382321
