"term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.267762848255262,0.259165964066983,-1.0331713472455,0.301523719162531
"2","GenderM",1.25787520852732,0.0841404046296013,14.9497166559238,1.56413270949546e-50
"3","RaceWHITE",0.00491042170673668,0.0466484683744627,0.105264371539899,0.916166033261112
"4","Age_at_Release23-27",-0.394596384181307,0.0842323467646903,-4.68461819404893,2.80482277727908e-06
"5","Age_at_Release28-32",-0.782233448440001,0.0914519429151264,-8.55349185053364,1.19419730903721e-17
"6","Age_at_Release33-37",-1.07265992338099,0.0983811259607323,-10.9031067992567,1.11387776998193e-27
"7","Age_at_Release38-42",-1.22442008005203,0.108453184311852,-11.289849051654,1.47289405985228e-29
"8","Age_at_Release43-47",-1.5019979083326,0.114158496149525,-13.1571276689321,1.54861944478719e-39
"9","Age_at_Release48 or older",-1.68153223735136,0.115513528580502,-14.5570155982163,5.27091441249103e-48
"10","Residence_PUMA2",-0.0351027514056028,0.142090497188622,-0.247045031864479,0.804873373523623
"11","Residence_PUMA3",0.184912245139048,0.136164181595503,1.35800944839047,0.174460686098978
"12","Residence_PUMA4",0.0176348108860144,0.129824908086537,0.135835342739158,0.891951450529597
"13","Residence_PUMA5",0.0822469049383726,0.137104471309191,0.599884920987687,0.548582932464169
"14","Residence_PUMA6",-0.0391272826833031,0.137927144629714,-0.283680799659458,0.776655010159431
"15","Residence_PUMA7",0.169368562078428,0.143708824689484,1.17855366533258,0.23857595111456
"16","Residence_PUMA8",-0.142358775194325,0.136685194121757,-1.04150838069201,0.29763966567255
"17","Residence_PUMA9",0.066510877577688,0.160446572477661,0.414535982605351,0.678481620639537
"18","Residence_PUMA10",0.415974547551919,0.161595814722304,2.57416659129913,0.0100481878789207
"19","Residence_PUMA11",0.276618961091624,0.140128330424702,1.97404022622153,0.0483771691190287
"20","Residence_PUMA12",-0.0156484896116693,0.140809284980844,-0.111132512417758,0.911511267238744
"21","Residence_PUMA13",0.0273984919731416,0.226123982910279,0.121165794182976,0.903559716747557
"22","Residence_PUMA14",0.15464579913327,0.136006999439739,1.13704294463014,0.255520333486493
"23","Residence_PUMA15",0.17995508995152,0.153789190057282,1.17014134663491,0.241944091831061
"24","Residence_PUMA16",-0.0109915156254595,0.142719037866382,-0.0770150625297107,0.938611562391225
"25","Residence_PUMA17",0.214038257875121,0.135779596779639,1.57636539621259,0.114941618361566
"26","Residence_PUMA18",0.0536035604804264,0.150367278514982,0.356484209927929,0.721477975090647
